Item.Description,Item.Manufacturer,Item.PartsNo,問題点.No,問題点.内容,問題点.原因,問題点.発覚日時,問題点.Project,対策.応急処置,対策.恒久対策
サンプリングライン,C社,P-891516,P001,配管の亀裂,定期点検の不備,2025/07/12,塩素注入設備更新プロジェクト,フィルターの交換,材質を耐塩素性の高いものに変更
ポンプ,F社,P-689038,P002,腐食による機能不全,異物の混入,2025/07/25,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,定期点検マニュアルの更新
フィルター,D社,P-155322,P003,配管の亀裂,異物の混入,2025/07/09,塩素注入設備更新プロジェクト,センサーの再校正,材質を耐塩素性の高いものに変更
電磁弁,A社,P-426572,P004,制御盤が停止,締め付けトルクの不足,2025/07/25,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,自動洗浄機能の導入を検討
圧力計,E社,P-889925,P005,制御盤が停止,締め付けトルクの不足,2025/07/30,塩素注入設備更新プロジェクト,センサーの再校正,防食・防湿処理を強化
インジェクター,A社,P-146850,P006,詰まりが発生し、注入量が不安定,水質変動の影響,2025/07/18,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,自動洗浄機能の導入を検討
制御盤,E社,P-472930,P007,腐食による機能不全,定期点検の不備,2025/07/29,塩素注入設備更新プロジェクト,センサーの再校正,自動洗浄機能の導入を検討
塩素ボンベ接続部,E社,P-140611,P008,腐食による機能不全,外的要因による損傷,2025/07/18,塩素注入設備更新プロジェクト,接続部の増し締め,製品の選定見直し
流量計,B社,P-986962,P009,塩素漏れが発生,外的要因による損傷,2025/08/01,塩素注入設備更新プロジェクト,接続部の増し締め,自動洗浄機能の導入を検討
サンプリングライン,C社,P-117811,P010,電磁弁の固着,定期点検の不備,2025/07/06,塩素注入設備更新プロジェクト,接続部の増し締め,締め付けトルク管理の徹底
制御盤,C社,P-254722,P011,腐食による機能不全,部品の初期不良,2025/07/29,塩素注入設備更新プロジェクト,制御盤の故障部品交換,自動洗浄機能の導入を検討
ポンプ,C社,P-152262,P012,腐食による機能不全,部品の初期不良,2025/07/01,塩素注入設備更新プロジェクト,パッキンの増し締め,自動洗浄機能の導入を検討
圧力計,D社,P-737463,P013,センサーが応答しない,塩素ガスの侵入,2025/07/19,塩素注入設備更新プロジェクト,パッキンの増し締め,材質を耐塩素性の高いものに変更
ポンプ,B社,P-339625,P014,パッキンの劣化,締め付けトルクの不足,2025/07/11,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,防食・防湿処理を強化
制御盤,A社,P-311094,P015,塩素漏れが発生,外的要因による損傷,2025/07/16,塩素注入設備更新プロジェクト,パッキンの増し締め,部品交換時期の明記
フィルター,D社,P-998342,P016,パッキンの劣化,外的要因による損傷,2025/07/05,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,防食・防湿処理を強化
電磁弁,C社,P-576997,P017,配管の亀裂,部品の初期不良,2025/08/02,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,部品交換時期の明記
配管接続部,D社,P-433952,P018,センサーが応答しない,パッキンの経年劣化,2025/07/01,塩素注入設備更新プロジェクト,フィルターの交換,材質を耐塩素性の高いものに変更
電磁弁,C社,P-668114,P019,フィルターの目詰まり,部品の初期不良,2025/07/12,塩素注入設備更新プロジェクト,フィルターの交換,防食・防湿処理を強化
流量計,A社,P-305763,P020,配管の亀裂,水質変動の影響,2025/07/23,塩素注入設備更新プロジェクト,パッキンの増し締め,製品の選定見直し
ポンプ,D社,P-582559,P021,電磁弁の固着,部品の初期不良,2025/07/15,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,部品交換時期の明記
電磁弁,D社,P-872617,P022,電磁弁の固着,電源系統の不安定,2025/07/05,塩素注入設備更新プロジェクト,制御盤の故障部品交換,防食・防湿処理を強化
インジェクター,C社,P-417740,P023,フィルターの目詰まり,締め付けトルクの不足,2025/07/07,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,締め付けトルク管理の徹底
塩素ボンベ接続部,A社,P-401850,P024,電磁弁の固着,外的要因による損傷,2025/07/01,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,製品の選定見直し
サンプリングライン,D社,P-661349,P025,パッキンの劣化,パッキンの経年劣化,2025/07/25,塩素注入設備更新プロジェクト,センサーの再校正,防食・防湿処理を強化
制御盤,A社,P-101959,P026,センサーが応答しない,締め付けトルクの不足,2025/07/01,塩素注入設備更新プロジェクト,制御盤の故障部品交換,締め付けトルク管理の徹底
電磁弁,B社,P-399048,P027,電磁弁の固着,締め付けトルクの不足,2025/08/03,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,定期点検マニュアルの更新
流量計,C社,P-908508,P028,制御盤が停止,定期点検の不備,2025/07/19,塩素注入設備更新プロジェクト,制御盤の故障部品交換,定期点検マニュアルの更新
圧力計,B社,P-619559,P029,センサーが応答しない,電源系統の不安定,2025/07/01,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,自動洗浄機能の導入を検討
