Item.Description,Item.Manufacturer,Item.PartsNo,問題点.No,問題点.内容,問題点.原因,問題点.発覚日時,問題点.Project,対策.応急処置,対策.恒久対策
電子レンジ,F社,PN00021,1,電源が入らない,設定の誤り,2025/03/10 10:27,仕事,専門業者に依頼した,二重確認の徹底
ノートパソコン,G社,PN00023,2,焦げ付く,システムのバグ,2025/04/09 04:36,仕事,謝罪と訂正を行った,パスワードを再設定
モバイルバッテリー,A社,PN00003,3,焦げ付く,ウイルス感染,2025/05/29 18:28,家事,定期的なメンテナンスを導入,専門業者に依頼した
テレビ,D社,PN00007,4,誤って操作した,不注意,2024/07/04 15:46,デジタルライフ,専門業者に依頼した,保管場所を決める
眼鏡,B社,PN00010,5,誤って操作した,設定の誤り,2025/05/17 07:14,通勤,専門業者に依頼した,パスワードを再設定
プリンター,H社,PN00012,6,起動しない,経年劣化,2025/03/24 07:54,学習,謝罪と訂正を行った,自動化ツールの導入
自転車,B社,PN00022,7,冷えない,知識不足,2025/05/18 19:42,健康管理,パスワードを再設定,定期的なメンテナンスを導入
掃除機,E社,PN00024,8,印刷できない,多忙による見落とし,2024/09/25 00:09,プライベート,初期化した,不要なアプリを削除
腕時計,C社,PN00025,9,誤って送った,不注意,2025/02/16 23:42,仕事,メーカーに問い合わせた,ルーティングシステムの導入
水筒,G社,PN00008,10,接続できない,物理的な衝撃,2025/01/01 17:51,通勤,再提出した,保管場所を決める
ワイヤレスイヤホン,G社,N/A,11,印刷できない,不注意,2025/05/02 02:45,デジタルライフ,電源ケーブルを抜き差しした,定期的なソフトウェア更新
掃除機,C社,PN00029,12,冷えない,過熱,2024/09/19 12:44,デジタルライフ,再起動した,支払い方法を自動引き落としに変更
眼鏡,A社,PN00007,13,充電できない,システムのバグ,2024/07/19 14:04,プライベート,再予約した,自動化ツールの導入
USBメモリ,A社,PN00012,14,誤って削除した,うっかりミス,2025/04/23 20:53,買い物,メーカーに問い合わせた,自動化ツールの導入
電子レンジ,D社,PN00010,15,誤って操作した,電力供給の問題,2025/02/09 09:12,仕事,謝罪と訂正を行った,保管場所を決める
充電器,C社,PN00005,16,接続できない,過熱,2024/11/05 06:18,デジタルライフ,地図アプリで確認した,不要なアプリを削除
扇風機,E社,PN00007,17,印刷できない,不注意,2025/02/26 05:43,学習,再起動した,支払い方法を自動引き落としに変更
テレビ,E社,PN00020,18,冷えない,ヒューマンエラー,2025/04/10 11:32,プライベート,再提出した,リマインダー設定の徹底
手帳,G社,PN00007,19,接続できない,ヒューマンエラー,2024/12/28 17:34,プライベート,謝罪と訂正を行った,パスワードを再設定
掃除機,E社,PN00009,20,道を間違えた,ウイルス感染,2025/05/04 15:53,デジタルライフ,謝罪と訂正を行った,単体テストと結合テストを徹底する
自動車,D社,PN00010,21,約束を忘れた,ネットワークの問題,2025/01/18 10:14,プライベート,設定を元に戻した,ルーティングシステムの導入
冷蔵庫,E社,PN00014,22,データが消えた,ヒューマンエラー,2025/05/18 09:27,仕事,専門業者に依頼した,保管場所を決める
エアコン,B社,PN00027,23,誤って削除した,バッテリー切れ,2024/08/13 18:37,仕事,定期的なメンテナンスを導入,定期的なメンテナンスを導入
掃除機,G社,PN00025,24,冷えない,電力供給の問題,2025/03/09 02:29,プライベート,専門業者に依頼した,自動化ツールの導入
電気ケトル,C社,PN00016,25,フリーズする,確認不足,2025/04/18 19:41,健康管理,専門業者に依頼した,保管場所を決める
手帳,D社,PN00015,26,異音がする,多忙による見落とし,2025/01/26 21:02,プライベート,代替品を用意した,不要なアプリを削除
プリンター,H社,PN00012,27,問題点をリスト化したものはある,多忙による見落とし,2025/04/23 09:34,学習,謝罪と訂正を行った,ルーティングシステムの導入
名刺入れ,D社,PN00009,28,冷えない,電力供給の問題,2025/03/17 07:05,趣味,再起動した,保管場所を決める
ワイヤレスイヤホン,G社,PN00017,29,設定ミス,知識不足,2025/01/05 06:14,学習,謝罪と訂正を行った,自動化ツールの導入
プリンター,C社,PN00015,30,誤って操作した,電力供給の問題,2025/03/08 00:07,健康管理,専門業者に依頼した,二重確認の徹底
エアコン,B社,PN00016,31,異音がする,システムのバグ,2025/01/01 10:48,学習,設定を元に戻した,リマインダー設定の徹底
筆記用具,B社,PN00017,32,パスワードを再設定,論理的な誤り,2024/10/24 07:02,健康管理,専門業者に依頼した,専門業者に依頼した
ノートパソコン,B社,PN00017,33,約束を忘れた,確認不足,2025/03/24 23:36,仕事,謝罪と訂正を行った,自動化ツールの導入
モバイルバッテリー,A社,PN00029,34,入力ミス,物理的な衝撃,2024/11/04 16:35,プライベート,メーカーに問い合わせた,リマインダー設定の徹底
眼鏡,E社,PN00016,35,紛失した,接続不良,2024/10/06 17:48,デジタルライフ,再予約した,チェックリストの導入
冷蔵庫,E社,PN00014,36,設定ミス,システムのバグ,2024/09/20 18:31,家事,代替品を用意した,パスワードを再設定
扇風機,C社,PN00007,37,異音がする,不注意,2024/07/26 18:24,デジタルライフ,初期化した,不要なアプリを削除
名刺入れ,E社,PN00028,38,動作が不安定,ネットワークの問題,2025/02/05 07:12,家事,パスワードを再設定,二重確認の徹底
自動車,D社,PN00025,39,誤って送った,確認不足,2025/04/19 14:02,通勤,清掃した,保管場所を決める
掃除機,G社,PN00008,40,問題点をリスト化したものはある,電力供給の問題,2025/03/19 03:00,デジタルライフ,再起動した,支払い方法を自動引き落としに変更
加湿器,D社,PN00002,41,接続できない,うっかりミス,2024/12/12 05:43,健康管理,設定を元に戻した,バックアップ体制を強化
電気ケトル,A社,PN00008,42,ネットワークに繋がらない,多忙による見落とし,2024/12/28 17:21,趣味,メーカーに問い合わせた,定期的なソフトウェア更新
腕時計,D社,PN00027,43,誤って送った,うっかりミス,2025/02/09 04:06,通勤,設定を元に戻した,二重確認の徹底
スマートフォン,H社,PN00027,44,再起動した,不注意,2024/12/03 23:40,仕事,謝罪と訂正を行った,モデル構築の複雑さ
洗濯機,B社,PN00006,45,入力ミス,うっかりミス,2025/04/09 00:54,家事,パスワードを再設定,リマインダー設定の徹底
冷蔵庫,H社,PN00014,46,設定ミス,接続不良,2024/09/01 19:35,健康管理,メーカーに問い合わせた,不要なアプリを削除
手帳,G社,PN00008,47,誤って操作した,確認不足,2025/03/17 21:04,仕事,謝罪と訂正を行った,パスワードを再設定
電子レンジ,B社,PN00010,48,約束を忘れた,設定の誤り,2025/03/05 09:37,デジタルライフ,初期化した,リマインダー設定の徹底
USBメモリ,G社,PN00018,49,解決策、改善案は品質保証部でレビューする,バッテリー切れ,2024/07/20 07:07,プライベート,清掃した,自動化ツールの導入
プリンター,H社,PN00012,50,動作が不安定,経年劣化,2024/07/04 18:04,プライベート,清掃した,ルーティングシステムの導入
洗濯機,H社,PN00026,51,約束を忘れた,多忙による見落とし,2024/07/21 16:53,仕事,専門業者に依頼した,自動化ツールの導入
水筒,G社,PN00008,52,フリーズする,電力供給の問題,2025/03/17 23:19,学習,専門業者に依頼した,ルーティングシステムの導入
筆記用具,D社,PN00017,53,誤って送った,バッテリー切れ,2024/08/25 09:59,通勤,設定を元に戻した,チェックリストの導入
扇風機,H社,PN00011,54,表示がおかしい,電力供給の問題,2024/12/28 17:35,プライベート,メーカーに問い合わせた,二重確認の徹底
プリンター,D社,PN00012,55,接続できない,確認不足,2024/09/16 19:42,デジタルライフ,再起動した,保管場所を決める
ワイヤレスイヤホン,C社,PN00017,56,誤って削除した,確認不足,2024/12/26 15:48,デジタルライフ,代替品を用意した,ルーティングシステムの導入
名刺入れ,D社,PN00028,57,パスワードを再設定,多忙による見落とし,2025/03/17 00:09,学習,清掃した,支払い方法を自動引き落としに変更
食器洗い乾燥機,C社,PN00002,58,冷えない,多忙による見落とし,2024/07/19 12:44,仕事,パスワードを再設定,保管場所を決める
ノートパソコン,F社,PN00017,59,紛失した,ヒューマンエラー,2025/02/06 14:02,プライベート,再予約した,自動化ツールの導入
エアコン,C社,PN00016,60,問題点をリスト化したものはある,確認不足,2024/08/07 09:37,仕事,デバッグして修正した,単体テストと結合テストを徹底する
掃除機,E社,PN00009,61,間違えて登録した,うっかりミス,2025/05/27 23:36,仕事,謝罪と訂正を行った,リマインダー設定の徹底
加湿器,H社,PN00002,62,冷えない,多忙による見落とし,2024/07/04 18:04,健康管理,専門業者に依頼した,単体テストと結合テストを徹底する
電子レンジ,D社,PN00010,63,音が出ない,バッテリー切れ,2025/02/09 09:12,プライベート,再予約した,二重確認の徹底
コーヒーメーカー,B社,PN00001,64,予約を忘れた,電力供給の問題,2025/02/09 09:12,プライベート,初期化した,不要なアプリを削除
鍵,G社,PN00010,65,接続できない,確認不足,2025/03/09 09:12,健康管理,設定を元に戻した,モデル構築の複雑さ
腕時計,A社,PN00027,66,道を間違えた,ウイルスの感染,2025/03/09 09:12,健康管理,代替品を用意した,パスワードを再設定
掃除機,F社,PN00025,67,間違えて登録した,物理的な衝撃,2025/03/09 09:12,プライベート,パスワードを再設定,保管場所を決める
水筒,C社,PN00008,68,誤って削除した,経年劣化,2025/03/09 09:12,趣味,専門業者に依頼した,自動化ツールの導入
USBメモリ,A社,PN00012,69,問題点をリスト化したものはある,ヒューマンエラー,2025/03/09 09:12,仕事,再起動した,二重確認の徹底
プリンター,E社,PN00012,70,冷えない,多忙による見落とし,2025/03/09 09:12,学習,メーカーに問い合わせた,定期的なメンテナンスを導入
掃除機,H社,PN00026,71,紛失した,確認不足,2025/03/09 09:12,プライベート,謝罪と訂正を行った,ルーティングシステムの導入
筆記用具,D社,PN00017,72,解決策、改善案は品質保証部でレビューする,バッテリー切れ,2025/03/09 09:12,仕事,清掃した,二重確認の徹底
モバイルバッテリー,A社,PN00029,73,入力ミス,不注意,2025/03/09 09:12,プライベート,パスワードを再設定,リマインダー設定の徹底
眼鏡,E社,PN00016,74,パスワードを再設定,ネットワークの問題,2025/03/09 09:12,デジタルライフ,再予約した,チェックリストの導入
冷蔵庫,E社,PN00014,75,設定ミス,システムのバグ,2025/03/09 09:12,家事,代替品を用意した,パスワードを再設定
扇風機,C社,PN00007,76,異音がする,不注意,2025/03/09 09:12,デジタルライフ,初期化した,不要なアプリを削除
名刺入れ,D社,PN00028,77,動作が不安定,ネットワークの問題,2025/03/09 09:12,家事,パスワードを再設定,二重確認の徹底
自動車,D社,PN00025,78,誤って送った,確認不足,2025/03/09 09:12,通勤,清掃した,保管場所を決める
掃除機,G社,PN00008,79,問題点をリスト化したものはある,電力供給の問題,2025/03/09 09:12,デジタルライフ,再起動した,支払い方法を自動引き落としに変更
加湿器,D社,PN00002,80,接続できない,うっかりミス,2025/03/09 09:12,健康管理,設定を元に戻した,バックアップ体制を強化
電気ケトル,A社,PN00008,81,ネットワークに繋がらない,多忙による見落とし,2025/03/09 09:12,趣味,メーカーに問い合わせた,定期的なソフトウェア更新
腕時計,D社,PN00027,82,誤って送った,うっかりミス,2025/03/09 09:12,通勤,設定を元に戻した,二重確認の徹底
スマートフォン,H社,PN00027,83,再起動した,不注意,2025/03/09 09:12,仕事,謝罪と訂正を行った,モデル構築の複雑さ
洗濯機,B社,PN00006,84,入力ミス,うっかりミス,2025/03/09 09:12,家事,パスワードを再設定,リマインダー設定の徹底
冷蔵庫,H社,PN00014,85,設定ミス,接続不良,2025/03/09 09:12,健康管理,メーカーに問い合わせた,不要なアプリを削除
手帳,G社,PN00008,86,誤って操作した,確認不足,2025/03/09 09:12,仕事,謝罪と訂正を行った,パスワードを再設定
電子レンジ,B社,PN00010,87,約束を忘れた,設定の誤り,2025/03/09 09:12,デジタルライフ,初期化した,リマインダー設定の徹底
USBメモリ,G社,PN00018,88,解決策、改善案は品質保証部でレビューする,バッテリー切れ,2025/03/09 09:12,プライベート,清掃した,自動化ツールの導入
プリンター,H社,PN00012,89,動作が不安定,経年劣化,2025/03/09 09:12,プライベート,清掃した,ルーティングシステムの導入
洗濯機,H社,PN00026,90,約束を忘れた,多忙による見落とし,2025/03/09 09:12,仕事,専門業者に依頼した,自動化ツールの導入
水筒,G社,PN00008,91,フリーズする,電力供給の問題,2025/03/09 09:12,学習,専門業者に依頼した,ルーティングシステムの導入
筆記用具,D社,PN00017,92,誤って送った,バッテリー切れ,2025/03/09 09:12,通勤,設定を元に戻した,チェックリストの導入
扇風機,H社,PN00011,93,表示がおかしい,電力供給の問題,2025/03/09 09:12,プライベート,メーカーに問い合わせた,二重確認の徹底
プリンター,D社,PN00012,94,接続できない,確認不足,2025/03/09 09:12,デジタルライフ,再起動した,保管場所を決める
ワイヤレスイヤホン,C社,PN00017,95,誤って削除した,確認不足,2025/03/09 09:12,デジタルライフ,代替品を用意した,ルーティングシステムの導入
名刺入れ,D社,PN00028,96,パスワードを再設定,多忙による見落とし,2025/03/09 09:12,学習,清掃した,支払い方法を自動引き落としに変更
食器洗い乾燥機,C社,PN00002,97,冷えない,多忙による見落とし,2025/03/09 09:12,仕事,パスワードを再設定,保管場所を決める
ノートパソコン,F社,PN00017,98,紛失した,ヒューマンエラー,2025/03/09 09:12,プライベート,再予約した,自動化ツールの導入
エアコン,C社,PN00016,99,問題点をリスト化したものはある,確認不足,2025/03/09 09:12,仕事,デバッグして修正した,単体テストと結合テストを徹底する
掃除機,E社,PN00009,100,間違えて登録した,うっかりミス,2025/03/09 09:12,仕事,謝罪と訂正を行った,リマインダー設定の徹底
